id_Cargo;nombre;descripcion;is_active
1;ASISTENTE DE RESIDENTE;ASISTENTE DE RESIDENTE;True
2;ANALISTA SSOMA;ANALISTA SSOMA;True
3;ASISTENTE LOG�STICO;ASISTENTE LOG�STICO;True
4;TECNICO QA QC;TECNICO QA QC;True
5;MAESTRO MUESTRERO LABORATORIO;MAESTRO MUESTRERO LABORATORIO;True
6;MAESTRO MUESTRERO LABORATORIO ;MAESTRO MUESTRERO LABORATORIO ;True
7;AYUDANTE PERFORISTA;AYUDANTE PERFORISTA;True
8;ASISTENTE SSOMA;ASISTENTE SSOMA;True
9;JEFE ZONAL ;JEFE ZONAL ;True
10;AUXILIAR ADMINISTRATIVO ;AUXILIAR ADMINISTRATIVO ;True
11;ASISTENTE DE OPERACIONES;ASISTENTE DE OPERACIONES;True
12;ASISTENTE ADMINISTRATIVO;ASISTENTE ADMINISTRATIVO;True
13;AYUDANTE GEOMECANICO ;AYUDANTE GEOMECANICO ;True
14;ING. DE SEGURIDAD SENIOR ;ING. DE SEGURIDAD SENIOR ;True
15;SUPERVISOR ;SUPERVISOR ;True
16;MAESTRO MUESTRERO;MAESTRO MUESTRERO;True
17;AYUDANTE MUESTRERO ;AYUDANTE MUESTRERO ;True
18;AYUDANTE DDH-I;AYUDANTE DDH-I;True
19;CONDUCTOR;CONDUCTOR;True
20;TECNICO MECANICO I;TECNICO MECANICO I;True
21;PERFORISTA DDH-I;PERFORISTA DDH-I;True
22;PERFORISTA DDH-II;PERFORISTA DDH-II;True
23;SUPERVISOR OPERATIVO I;SUPERVISOR OPERATIVO I;True
24;AYUDANTE DDH-II;AYUDANTE DDH-II;True
25;AYUDANTE MUESTRERO;AYUDANTE MUESTRERO;True
26;GEOLOGO JUNIOR ;GEOLOGO JUNIOR ;True
